move,title,src,opener,gate_chance,gate_and,enabled_by,forbidden_by,family,family_name,valence_them,valence_us,needs_us,needs_them,rel_them_sees_us
SOCAdmitWorries,Admit Worries,interactions2.json,True,0.3,False,IsAgliophobic;IsCraven;IsFinicky;IsHonest;IsObservant;IsPessimist;IsQuitter;IsSelfish;IsTrusting,IsApathetic;IsArrogant;IsBrave;IsCruel;IsLiar;IsOblivious;IsOptimist;IsSelfless;IsShy;IsTreacherous,2,us:Intimacy- us:Privacy+,-15.0,-24.0,"{""Altruism"": 3.0, ""Autonomy"": -3.0, ""Contact"": -3.0, ""Esteem"": 3.0, ""Family"": -6.0, ""Intimacy"": -3.0, ""Meaning"": -3.0, ""Privacy"": 3.0, ""Security"": -3.0, ""SelfRespect"": -12.0}","{""Altruism"": -3.0, ""Autonomy"": 3.0, ""Contact"": -3.0, ""Esteem"": -6.0, ""Family"": -6.0, ""Intimacy"": -3.0, ""Privacy"": 6.0, ""SelfRespect"": -3.0}",
SOCAgreeDismissively,Agree Dismissively,interactions2.json,False,0.75,False,IsArrogant;IsCruel;IsHumorless;IsImpatient;IsPessimist;IsQuitter,IsCharismatic;IsGregarious;IsHumble;IsKind;IsOptimist;IsShy,0,them:Esteem+ them:SelfRespect+,24.0,3.0,"{""Achievement"": -3.0, ""Altruism"": 3.0, ""Autonomy"": -6.0, ""Family"": 3.0, ""Privacy"": 3.0, ""SelfRespect"": 3.0}","{""Autonomy"": 6.0, ""Contact"": 6.0, ""Esteem"": 3.0, ""Meaning"": 6.0, ""SelfRespect"": 3.0}",
SOCAskCareer,Ask About Skills,interactions2.json,True,1.0,False,,,2,us:Intimacy- us:Privacy+,-9.0,-6.0,"{""Contact"": -6.0, ""Family"": -3.0, ""Meaning"": -3.0, ""Privacy"": 6.0}","{""Contact"": -3.0, ""Esteem"": -6.0, ""Privacy"": 6.0, ""SelfRespect"": -6.0}",
SOCAskFamily,Ask About Family,interactions2.json,True,1.0,True,,,2,us:Intimacy- us:Privacy+,-12.0,-12.0,"{""Family"": -12.0, ""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Family"": -12.0, ""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptChildren1,Talk About Having Children.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptChildren2,Talk About Your Child.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptChildren3,Talk About Your Child.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptChildren4,Talk About Your Child.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptParents1,Talk about parents.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptParents2,Talk about father.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
