a,b,co_enable,conflict
IsArrogant,IsCruel,18,0
IsArrogant,IsRepulsive,17,2
IsAmbitious,IsArrogant,14,1
IsCharismatic,IsGregarious,13,4
IsGregarious,IsLeader,13,1
IsBrave,IsGregarious,12,1
IsArrogant,IsTreacherous,12,2
IsCruel,IsRepulsive,12,1
IsAmbitious,IsRepulsive,12,0
IsGregarious,IsLustful,12,0
IsArrogant,IsVengeful,11,0
IsCruel,IsTreacherous,11,1
IsCruel,IsVengeful,11,0
IsAmbitious,IsComedian,11,0
IsGregarious,IsOptimist,11,0
IsRepulsive,IsTreacherous,11,1
IsComedian,IsGregarious,10,0
IsTreacherous,IsVengeful,10,1
IsGregarious,IsKind,10,0
IsLeader,IsOptimist,10,2
IsRepulsive,IsVengeful,10,1
IsBrave,IsLustful,10,1
IsHumble,IsPushover,9,0
IsCharismatic,IsLeader,9,4
IsComedian,IsLeader,9,0
IsArrogant,IsComedian,9,1
IsKind,IsSelfless,8,1
IsFollower,IsPushover,8,1
IsOblivious,IsSelfish,8,1
IsAmbitious,IsLeader,8,1
IsAmbitious,IsOptimist,8,2
IsBrave,IsCharismatic,8,3
IsBrave,IsOptimist,8,1
IsKind,IsOptimist,8,2
IsCharismatic,IsLustful,8,3
IsComedian,IsRepulsive,8,1
IsArrogant,IsBrave,7,1
IsArrogant,IsGregarious,7,12
IsCraven,IsFollower,7,1
IsFollower,IsHumble,7,3
IsArrogant,IsSelfish,7,5
IsAmbitious,IsBrave,7,0
IsAmbitious,IsGregarious,7,0
IsBrave,IsLeader,7,0
IsCharismatic,IsKind,7,1
IsCharismatic,IsOptimist,7,4
IsComedian,IsOptimist,7,0
IsKind,IsLeader,7,2
IsLustful,IsOptimist,7,0
IsLeader,IsLustful,7,1
IsApathetic,IsHumble,6,7
IsApathetic,IsPushover,6,7
IsCraven,IsPushover,6,1
IsGregarious,IsObservant,6,1
IsArrogant,IsOblivious,6,4
IsArrogant,IsFinicky,6,1
IsFollower,IsTrusting,6,2
IsPushover,IsTrusting,6,1
IsArrogant,IsLeader,6,2
IsArrogant,IsOptimist,6,9
IsBrave,IsComedian,6,0
IsHumble,IsKind,6,0
IsKind,IsPatient,6,0
IsAmbitious,IsCruel,6,0
IsAmbitious,IsVengeful,6,0
IsAgliophobic,IsCraven,6,0
IsCraven,IsTrusting,6,1
IsOptimist,IsRepulsive,6,2
IsAmbitious,IsTreacherous,6,1
IsComedian,IsVengeful,6,0
IsComedian,IsLustful,6,0
IsAmbitious,IsLustful,6,0
IsHumble,IsQuitter,5,3
IsPushover,IsQuitter,5,1
IsArrogant,IsImpatient,5,2
IsApathetic,IsComplacent,5,2
IsApathetic,IsFollower,5,9
IsCraven,IsHumble,5,2
IsCharismatic,IsComedian,5,8
IsCharismatic,IsObservant,5,0
IsLeader,IsObservant,5,1
IsCruel,IsOblivious,5,1
IsCruel,IsSelfish,5,2
IsFinicky,IsPessimist,5,0
IsApathetic,IsShy,5,2
IsFollower,IsObservant,5,0
IsHumble,IsPatient,5,1
IsHumble,IsShy,5,2
IsObservant,IsPatient,5,0
IsKind,IsObservant,5,0
IsAmbitious,IsOblivious,5,3
IsGregarious,IsHumble,5,1
IsGregarious,IsPatient,5,1
IsGregarious,IsSelfless,5,1
IsLeader,IsRepulsive,5,3
IsCraven,IsPessimist,5,1
IsHumble,IsTrusting,5,1
IsBrave,IsRepulsive,5,4
IsComedian,IsCruel,5,2
IsComedian,IsTreacherous,5,1
IsQuitter,IsSelfish,4,2
IsArrogant,IsStubborn,4,1
IsApathetic,IsCraven,4,9
IsApathetic,IsQuitter,4,5
IsComplacent,IsHumble,4,1
