trait,friendly,cost_years,n_enables,n_exclusive,n_forbids,net,share,mean_valence_them,anti,families_enabled
IsArrogant,Arrogant,-1,29,0,14,15,4.5,21.38,IsHumble,them:Esteem+ them:SelfRespect+:24;us:Intimacy- us:Privacy+:4;no-effect:1
IsAmbitious,Ambitious,1,19,0,6,13,2.3,12.84,IsComplacent,them:Esteem+ them:SelfRespect+:10;us:Intimacy- us:Privacy+:6;us:Altruism- them:Security-:1;us:Security+ them:Autonomy-:1;no-effect:1
IsComedian,Comedian,3,16,1,3,13,3.0,8.88,IsHumorless,us:Intimacy- us:Privacy+:8;them:Esteem+ them:SelfRespect+:5;us:Altruism- them:Security-:2;us:Esteem- us:Meaning-:1
IsObservant,Observant,3,13,0,1,12,2.0,-16.23,IsOblivious,us:Altruism- them:Security-:6;us:Intimacy- us:Privacy+:5;us:Esteem- us:Meaning-:1;them:Esteem+ them:SelfRespect+:1
IsLustful,Lustful,-2,12,0,1,11,1.5,-2.25,IsChaste,us:Intimacy- us:Privacy+:10;us:Altruism- them:Security-:1;no-effect:1
IsGregarious,Gregarious,3,23,0,12,11,3.3,-6.12,IsShy,us:Intimacy- us:Privacy+:15;us:Altruism- them:Security-:4;them:Esteem+ them:SelfRespect+:2;us:Esteem- us:Meaning-:1;no-effect:1
IsSelfish,Selfish,-1,16,0,6,10,2.7,4.88,IsSelfless,them:Esteem+ them:SelfRespect+:8;us:Intimacy- us:Privacy+:4;us:Altruism- them:Security-:1;them:Altruism- them:Privacy+:1;us:Esteem- us:Meaning-:1;us:Security+ them:Autonomy-:1
IsVengeful,Vengeful,-1,12,0,2,10,1.8,31.67,IsForgiving,them:Esteem+ them:SelfRespect+:11;us:Intimacy- us:Privacy+:1
IsBrave,Brave,2,13,0,4,9,1.6,0.23,IsCraven,us:Intimacy- us:Privacy+:9;them:Esteem+ them:SelfRespect+:2;us:Altruism- them:Security-:1;no-effect:1
IsRepulsive,Repulsive,-3,18,0,9,9,2.5,21.78,IsCharismatic,them:Esteem+ them:SelfRespect+:13;us:Intimacy- us:Privacy+:3;us:Security+ them:Autonomy-:1;no-effect:1
IsLeader,Leader,3,16,0,7,9,2.2,-5.88,IsFollower,us:Intimacy- us:Privacy+:10;us:Altruism- them:Security-:3;them:Esteem+ them:SelfRespect+:2;no-effect:1
IsTrusting,Trusting,1,9,0,1,8,1.0,-11.98,IsSuspicious,us:Altruism- them:Security-:5;us:Intimacy- us:Privacy+:3;them:Esteem+ them:SelfRespect+:1
IsGenius,Genius,3,7,0,1,6,1.3,-3.0,IsObtuse,them:Esteem+ them:SelfRespect+:3;us:Altruism- them:Security-:2;us:Intimacy- us:Privacy+:1;us:Esteem- us:Meaning-:1
IsOptimist,Optimist,1,14,0,8,6,1.6,-9.07,IsPessimist,us:Intimacy- us:Privacy+:7;us:Altruism- them:Security-:4;them:Esteem+ them:SelfRespect+:1;us:Security+ them:Autonomy-:1;no-effect:1
IsCruel,Cruel,-3,18,0,12,6,2.9,29.28,IsKind,them:Esteem+ them:SelfRespect+:18
IsLoyal,Loyal,1,6,0,1,5,0.7,5.5,IsTreacherous,them:Esteem+ them:SelfRespect+:4;us:Altruism- them:Security-:2
IsFinicky,Finicky,-2,8,0,4,4,0.9,11.0,IsApathetic,them:Esteem+ them:SelfRespect+:6;us:Altruism- them:Security-:1;us:Intimacy- us:Privacy+:1
IsStrong,Strong,2,3,0,0,3,1.5,24.0,IsFeeble,them:Esteem+ them:SelfRespect+:3
IsBeautiful,Beautiful,1,3,0,0,3,0.6,0.0,IsUgly,us:Intimacy- us:Privacy+:3
IsTough,Tough,1,3,0,0,3,1.5,24.0,IsFragile,them:Esteem+ them:SelfRespect+:3
IsGlutton,Glutton,-2,4,0,2,2,0.5,-5.95,IsTemperate,us:Intimacy- us:Privacy+:3;us:Security+ them:Autonomy-:1
IsObtuse,Obtuse,-3,8,0,6,2,1.1,-4.12,IsGenius,them:Esteem+ them:SelfRespect+:3;us:Altruism- them:Security-:2;us:Intimacy- us:Privacy+:1;us:Esteem- us:Meaning-:1;us:Security+ them:Autonomy-:1
IsSmoker,Smoker,-1,1,0,0,1,0.2,-8.8,,us:Intimacy- us:Privacy+:1
